id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,number_of_reviews
2319136,Retiro,Niño Jesús,40.40926,-3.67569,Entire home/apt,624.0,73
2342966,Ciudad Lineal,Pueblo Nuevo,40.42617,-3.64297,Private room,44.0,32
2355344,Centro,Cortes,40.41187,-3.69662,Entire home/apt,188.0,779
2358924,Chamberí,Trafalgar,40.43131,-3.69918,Entire home/apt,200.0,13
2362731,San Blas - Canillejas,Arcos,40.42654,-3.615916,Private room,34.0,40
2364463,Centro,Embajadores,40.40672,-3.69915,Entire home/apt,77.0,591
2388144,Centro,Palacio,40.4091847,-3.7112316,Private room,60.0,90
2416770,Centro,Cortes,40.41464,-3.70134,Entire home/apt,199.0,567
2452815,Centro,Sol,40.41677,-3.70241,Entire home/apt,155.0,863
2471370,Centro,Universidad,40.4217,-3.704668,Entire home/apt,186.0,480
2482267,Moncloa - Aravaca,Argüelles,40.4269,-3.71367,Entire home/apt,142.0,373
2530433,Centro,Embajadores,40.40981,-3.70444,Entire home/apt,70.0,16
2549655,Centro,Universidad,40.42809,-3.70396,Private room,38.0,15
2558321,Centro,Embajadores,40.41076,-3.69967,Entire home/apt,107.0,326
2588548,Retiro,Ibiza,40.42069,-3.6777,Entire home/apt,237.0,200
2622839,Centro,Justicia,40.4204,-3.69744,Entire home/apt,212.0,407
2630840,Centro,Palacio,40.413128,-3.713299,Entire home/apt,113.0,412
2632012,Centro,Universidad,40.4282,-3.704,Private room,32.0,44
2650925,Centro,Sol,40.415714263916016,-3.7058510780334473,Entire home/apt,168.0,710
2652829,Centro,Sol,40.415714263916016,-3.7058510780334473,Entire home/apt,174.0,689
2673648,Chamberí,Rios Rosas,40.43951,-3.6993,Entire home/apt,105.0,148
2686592,Centro,Universidad,40.42755,-3.70255,Private room,31.0,62
2706194,Centro,Embajadores,40.4080534400944,-3.701130759415112,Entire home/apt,98.0,251
2707743,Centro,Universidad,40.424095,-3.709137,Entire home/apt,196.0,391
2744523,Arganzuela,Palos de Moguer,40.40331,-3.69261,Entire home/apt,134.0,74
2820486,Arganzuela,Palos de Moguer,40.40441,-3.70095,Private room,33.0,125
2847041,Centro,Cortes,40.411968,-3.695372,Private room,103.0,107
2862015,Centro,Universidad,40.42333,-3.7066,Private room,36.0,880
2895896,Centro,Embajadores,40.41047,-3.7089,Entire home/apt,108.0,84
2926676,Moncloa - Aravaca,Valdezarza,40.46919,-3.7249,Private room,50.0,59
2943509,Centro,Universidad,40.42484,-3.70708,Entire home/apt,212.0,24
2943575,Centro,Universidad,40.42321,-3.70572,Entire home/apt,340.0,14
2965741,Retiro,Pacífico,40.40549,-3.68245,Private room,57.0,194
3012570,Centro,Universidad,40.42314,-3.70683,Entire home/apt,103.0,5
3012762,Centro,Universidad,40.42325,-3.7057,Entire home/apt,122.0,3
3028371,Centro,Embajadores,40.41116,-3.69885,Private room,28.0,64
3042518,Centro,Sol,40.41387,-3.70783,Entire home/apt,67.0,600
3045724,Centro,Universidad,40.42239,-3.70626,Entire home/apt,200.0,148
3046856,Centro,Universidad,40.42239,-3.70626,Entire home/apt,226.0,70
3046879,Centro,Universidad,40.42239,-3.70626,Entire home/apt,397.0,307
3047780,Centro,Universidad,40.42306,-3.7052,Entire home/apt,282.0,20
3113226,Centro,Palacio,40.40921,-3.71146,Entire home/apt,81.0,85
3143400,Centro,Justicia,40.42042,-3.70094,Private room,600.0,527
3143872,Moncloa - Aravaca,Argüelles,40.42729,-3.7148,Private room,45.0,328
3146468,Centro,Justicia,40.42074,-3.7007,Private room,627.0,603
3150635,Centro,Universidad,40.422,-3.70498,Entire home/apt,103.0,267
3166047,Centro,Embajadores,40.41026,-3.70907,Entire home/apt,195.0,402
3255468,Centro,Cortes,40.41196,-3.69778,Private room,218.0,86
3264794,Salamanca,Guindalera,40.43805,-3.67307,Entire home/apt,115.0,88
3284565,Centro,Embajadores,40.41144,-3.69844,Entire home/apt,80.0,26
3285554,Centro,Embajadores,40.41015,-3.69681,Entire home/apt,73.0,55
3294964,Centro,Sol,40.41673,-3.70458,Entire home/apt,126.0,6
3297333,Moncloa - Aravaca,Argüelles,40.43076,-3.72025,Private room,32.0,80
3306584,Centro,Justicia,40.41995,-3.7005,Entire home/apt,140.0,621
3318664,Centro,Sol,40.41721,-3.70597,Entire home/apt,178.0,214
3322399,Centro,Embajadores,40.41274,-3.70519,Entire home/apt,180.0,112
3338631,Arganzuela,Chopera,40.39904,-3.69987,Private room,88.0,72
3351904,Moncloa - Aravaca,Argüelles,40.42464,-3.71255,Entire home/apt,77.0,180
3389625,Centro,Embajadores,40.40945,-3.70965,Entire home/apt,72.0,386
3397465,Centro,Universidad,40.42162,-3.70186,Entire home/apt,147.0,1036
3419248,Centro,Palacio,40.41098,-3.71225,Entire home/apt,124.0,90
3423709,Centro,Universidad,40.42423,-3.70664,Entire home/apt,88.0,275
3425435,Centro,Embajadores,40.41199,-3.70387,Private room,80.0,77
3428310,Centro,Embajadores,40.40846,-3.69586,Entire home/apt,117.0,99
3428746,Centro,Universidad,40.42729,-3.70222,Entire home/apt,182.0,141
3451661,Chamberí,Trafalgar,40.43552,-3.70348,Private room,90.0,29
3457207,Centro,Cortes,40.41449,-3.69607,Entire home/apt,100.0,361
3477490,Salamanca,Goya,40.42865,-3.67613,Entire home/apt,80.0,8
3501674,Ciudad Lineal,Pueblo Nuevo,40.42773,-3.64498,Private room,33.0,159
3514869,Centro,Embajadores,40.41212,-3.69915,Private room,82.0,120
3515468,Centro,Justicia,40.42389,-3.69951,Private room,43.0,158
3517921,Centro,Universidad,40.4219,-3.70332,Entire home/apt,208.0,430
3527783,Centro,Embajadores,40.41275,-3.70039,Private room,72.0,95
3584830,Centro,Sol,40.41579055786133,-3.7060329914093018,Entire home/apt,166.0,683
3586833,Ciudad Lineal,Pueblo Nuevo,40.42813,-3.64537,Private room,34.0,69
3588117,Centro,Embajadores,40.40738,-3.69719,Private room,29.0,501
3589141,Retiro,Niño Jesús,40.40755,-3.67771,Entire home/apt,76.0,79
3604139,Centro,Universidad,40.4254,-3.70403,Entire home/apt,77.0,115
3610905,Centro,Universidad,40.42845,-3.7037,Entire home/apt,121.0,63
3632796,Centro,Cortes,40.41629,-3.69605,Private room,77.0,70
3641547,Centro,Embajadores,40.40863,-3.70078,Entire home/apt,575.0,1
3654455,Salamanca,Guindalera,40.43727,-3.67535,Entire home/apt,129.0,73
3654742,Centro,Sol,40.41507,-3.70511,Entire home/apt,850.0,20
3681753,Centro,Sol,40.41681,-3.70665,Entire home/apt,224.0,217
3681786,Centro,Sol,40.4149,-3.70699,Entire home/apt,202.0,199
3722238,Chamartín,Castilla,40.4716,-3.67378,Entire home/apt,100.0,153
3727205,Centro,Universidad,40.42126,-3.70305,Entire home/apt,98.0,879
3742728,Centro,Embajadores,40.41246,-3.70757,Entire home/apt,179.0,339
3753438,Arganzuela,Palos de Moguer,40.4046295,-3.6931793,Entire home/apt,72.0,4
3763652,Centro,Universidad,40.42459395118232,-3.702171623120405,Entire home/apt,89.0,62
3819043,Centro,Palacio,40.40959,-3.71687,Entire home/apt,89.0,225
3819941,Centro,Embajadores,40.41255,-3.70337,Entire home/apt,123.0,28
3824546,Salamanca,Goya,40.42865,-3.67613,Entire home/apt,83.0,4
3832234,Retiro,Adelfas,40.39967,-3.67144,Private room,480.0,8
3849729,Centro,Cortes,40.4158,-3.70119,Entire home/apt,105.0,207
3850756,Centro,Sol,40.41505,-3.70674,Entire home/apt,158.0,270
3853827,Centro,Cortes,40.41497,-3.7014,Entire home/apt,224.0,637
3857504,Centro,Universidad,40.423737,-3.71006,Entire home/apt,196.0,357
3858506,Centro,Palacio,40.42284,-3.7106,Private room,90.0,44
3885520,Centro,Sol,40.4149,-3.70267,Entire home/apt,65.0,303
3944509,San Blas - Canillejas,Salvador,40.44597,-3.63157,Private room,69.0,124
3973113,Centro,Palacio,40.41109895790407,-3.713395731388319,Entire home/apt,164.0,141
3985609,Centro,Sol,40.41991,-3.70155,Entire home/apt,83.0,636
4036586,Centro,Palacio,40.42184,-3.71134,Private room,83.0,134
4055217,Centro,Universidad,40.42455,-3.70224,Entire home/apt,107.0,52
4067702,Centro,Embajadores,40.41137,-3.70465,Entire home/apt,198.0,48
4075286,Centro,Embajadores,40.40875,-3.71018,Private room,56.0,175
4082994,Arganzuela,Chopera,40.39896,-3.69973,Private room,79.0,55
4083002,Arganzuela,Chopera,40.39894,-3.69999,Private room,44.0,69
4109879,Centro,Sol,40.41572,-3.70741,Entire home/apt,145.0,407
4110229,Centro,Embajadores,40.41232,-3.70005,Entire home/apt,93.0,321
4132363,Chamberí,Rios Rosas,40.44308,-3.69777,Entire home/apt,116.0,711
4138973,Latina,Lucero,40.40382,-3.75754,Private room,38.0,8
4158564,Fuencarral - El Pardo,Mirasierra,40.48766,-3.72365,Private room,78.0,1
4160649,Centro,Universidad,40.42267,-3.70809,Entire home/apt,82.0,418
