Año,Periodo,Precio
2023,Semana 40,1.69
2023,Semana 41,1.68
2023,Semana 42,1.66
2023,Semana 43,1.65
2023,Semana 44,1.65
2023,Semana 45,1.64
2023,Semana 46,1.61
2023,Semana 47,1.58
2023,Semana 48,1.56
2023,Semana 49,1.54
2023,Semana 50,1.53
2023,Semana 51,1.50
2023,Semana 52,1.49
2024,Semana 1,1.49
2024,Semana 2,1.49
2024,Semana 3,1.48
2024,Semana 4,1.49
2024,Semana 5,1.50
2024,Semana 6,1.51
2024,Semana 7,1.53
2024,Semana 8,1.56
2024,Semana 9,1.56
2024,Semana 10,1.55
2024,Semana 11,1.54
2024,Semana 12,1.54
2024,Semana 13,1.53
2024,Semana 14,1.54
2024,Semana 15,1.55
2024,Semana 16,1.56
2024,Semana 17,1.56
2024,Semana 18,1.54
2024,Semana 19,1.53
2024,Semana 20,1.51
2024,Semana 21,1.50
2024,Semana 22,1.48
2024,Semana 23,1.48
2024,Semana 24,1.46
2024,Semana 25,1.45
2024,Semana 26,1.47
2024,Semana 27,1.49
2024,Semana 28,1.50
2024,Semana 29,1.50
2024,Semana 30,1.50
2024,Semana 31,1.48
2024,Semana 32,1.47
2024,Semana 33,1.46
2024,Semana 34,1.45
2024,Semana 35,1.44
2024,Semana 36,1.42
2024,Semana 37,1.41
2024,Semana 38,1.38
2024,Semana 39,1.37
2024,Semana 40,1.36
2024,Semana 41,1.36
2024,Semana 42,1.38
2024,Semana 43,1.39
2024,Semana 44,1.39
2024,Semana 45,1.39
2024,Semana 46,1.49
2024,Semana 47,1.41
2024,Semana 48,1.42
2024,Semana 49,1.43
2024,Semana 50,1.43
2024,Semana 51,1.43
2024,Semana 52,1.43
2025,Semana 1,1.39
2025,Semana 2,1.45
2025,Semana 3,1.47
2025,Semana 4,1.49
2025,Semana 5,1.50
2025,Semana 6,1.50
2025,Semana 7,1.50
2025,Semana 8,1.50
2025,Semana 9,1.50
2025,Semana 10,1.49
2025,Semana 11,1.47
2025,Semana 12,1.52
2025,Semana 13,1.44
2025,Semana 14,1.44
2025,Semana 15,1.44
2025,Semana 16,1.41
2025,Semana 17,1.39
2025,Semana 18,1.38
2025,Semana 19,1.38
2025,Semana 20,1.37
2025,Semana 21,1.36
2025,Semana 22,1.37
2025,Semana 23,1.36
2025,Semana 24,1.36
2025,Semana 25,1.36
2025,Semana 26,1.40
2025,Semana 27,1.43
2025,Semana 28,1.42
2025,Semana 29,1.42
2025,Semana 30,1.43
2025,Semana 31,1.44
2025,Semana 32,1.43
2025,Semana 33,1.42
2025,Semana 34,1.41
2025,Semana 35,1.41
2025,Semana 36,1.41
2025,Semana 37,1.41
2025,Semana 38,1.41
2025,Semana 39,1.41
2025,Semana 40,1.41
2025,Semana 41,1.41
2025,Semana 42,1.40
2025,Semana 43,1.40
2025,Semana 44,1.39
2025,Semana 45,1.41
2025,Semana 46,1.43
2025,Semana 47,1.44
2025,Semana 48,1.46
2025,Semana 49,1.45
2025,Semana 50,1.44
2025,Semana 51,1.42
2025,Semana 52,1.40
2026,Semana 1,1.39
2026,Semana 2,1.39
2026,Semana 3,1.38
2026,Semana 4,1.38
2026,Semana 5,1.40
2026,Semana 6,1.40
2026,Semana 7,1.41
2026,Semana 8,1.42
2026,Semana 9,1.42
2026,Semana 10,1.44
2026,Semana 11,1.78
